"Gross national income (GNI) per capita (constant 2017 PPP$)"
"Dimension: Income/composition of resources"
"SDG 8.5 By 2030, achieve full and productive employment and decent work for all women and men,including for young people and persons with disabilities, and equal pay for work of equal value"
"Definition: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population."
"Source: World Bank (2020a), IMF (2020) and United Nations Statistics Division (2020b)"
""
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"6"," Germany","37232","","38644","","39032","","38331","","38855","","39246","","39514","","40077","","40722","","41415","","42616","","43206","","42891","","42578","","43803","","44240","","46369","","47706","","48016","","45989","","47860","","50931","","50969","","51010","","51776","","52371","","53213","","54368","","55155","","55314",""
"138"," Ghana","2315","","2370","","2396","","2433","","2440","","2471","","2520","","2560","","2613","","2660","","2682","","2761","","2822","","2895","","2973","","3111","","3190","","3245","","3457","","3536","","3676","","4031","","4208","","4554","","4526","","4614","","4638","","4864","","5057","","5269",""
"32"," Greece","24921","","25479","","25527","","24911","","25301","","25713","","26247","","27308","","28183","","28606","","29472","","30614","","31601","","33124","","34682","","34542","","36145","","36964","","36595","","35194","","33282","","30084","","28994","","28044","","28664","","28576","","28602","","29146","","29555","","30155",""
"74"," Grenada","8287","","8641","","8602","","8199","","8332","","8324","","8608","","8978","","9895","","10508","","10859","","10429","","10649","","11649","","11241","","13665","","13077","","13658","","13789","","12424","","12717","","12894","","12625","","12953","","13795","","14432","","14423","","14712","","15241","","15641",""
"127"," Guatemala","5417","","5550","","5654","","5745","","5832","","5967","","5974","","6096","","6277","","6354","","6428","","6466","","6490","","6518","","6565","","6636","","6820","","7093","","7211","","7081","","7143","","7267","","7423","","7557","","7735","","7932","","8029","","8143","","8274","","8494",""
"178"," Guinea","1405","","1401","","1426","","1485","","1510","","1540","","1575","","1603","","1628","","1678","","1685","","1699","","1788","","1815","","1814","","1829","","1763","","1841","","1868","","1786","","1852","","1897","","1972","","1935","","1995","","2056","","2228","","2409","","2347","","2405",""
"175"," Guinea-Bissau","1692","","1664","","1689","","1680","","1702","","1713","","1746","","1842","","1480","","1652","","1668","","1652","","1632","","1602","","1614","","1644","","1659","","1680","","1672","","1692","","1739","","1850","","1770","","1736","","1803","","1848","","1916","","1929","","1945","","1996",""
"122"," Guyana","2537","","2255","","2782","","3386","","3877","","4124","","4785","","4969","","5019","","5080","","5237","","5307","","5344","","5391","","5666","","5643","","5789","","6266","","6457","","6678","","7036","","7390","","7770","","8044","","8466","","8671","","8732","","8780","","9075","","9455",""
"170"," Haiti","2181","","2180","","2024","","1878","","1630","","1766","","1810","","1824","","1828","","1842","","1833","","1774","","1730","","1705","","1622","","1612","","1647","","1672","","1661","","1689","","1615","","1683","","1714","","1749","","1777","","1770","","1776","","1775","","1776","","1709",""
"132"," Honduras","3769","","3517","","3602","","3809","","3702","","3812","","3778","","3891","","3933","","3825","","3970","","3961","","3989","","4042","","4164","","4333","","4506","","4754","","4829","","4583","","4611","","4687","","4731","","4763","","4776","","4925","","5021","","5222","","5241","","5308",""
"4"," Hong Kong, China (SAR)","27931","","29102","","30593","","33407","","34501","","34870","","34134","","35879","","34236","","34785","","36633","","37158","","36952","","38937","","41768","","43928","","47568","","50635","","52723","","49923","","52435","","54905","","54543","","56261","","57500","","58271","","59556","","62450","","63984","","62985",""
"40"," Hungary","17910","","15544","","15179","","15559","","16010","","16179","","16134","","16399","","17040","","17399","","18362","","19161","","20147","","21106","","21998","","22953","","24002","","23764","","24247","","23207","","23369","","23807","","23738","","24611","","25315","","26289","","27503","","28344","","29840","","31329",""
"4"," Iceland","30975","","30821","","29610","","29659","","30234","","30073","","31380","","33205","","35259","","36444","","37573","","38694","","39725","","39734","","41304","","43521","","44080","","48005","","40444","","38101","","37239","","39148","","40730","","45864","","46504","","48907","","53282","","54378","","54960","","54682",""
"131"," India","1787","","1766","","1825","","1877","","1966","","2078","","2197","","2245","","2341","","2504","","2548","","2630","","2689","","2851","","3029","","3217","","3421","","3640","","3691","","3926","","4182","","4353","","4521","","4749","","5047","","5391","","5722","","6119","","6427","","6681",""
"107"," Indonesia","4202","","4507","","4748","","5042","","5399","","5738","","6111","","6290","","5237","","5118","","5315","","5604","","5820","","5964","","6132","","6377","","6681","","7022","","7389","","7634","","8059","","8431","","8819","","9171","","9473","","9815","","10197","","10589","","11042","","11459",""
"70"," Iran (Islamic Republic of)","8673","","9515","","9598","","9567","","9198","","9412","","9582","","9582","","9731","","9581","","10071","","10034","","10651","","11431","","11752","","11982","","12466","","13366","","13260","","13200","","13813","","14011","","12897","","12712","","13079","","12730","","14246","","14563","","13617","","12447",""
"123"," Iraq","8168","","2696","","3346","","4826","","4463","","3541","","5144","","6044","","7931","","9007","","8980","","8910","","7957","","5292","","7954","","8050","","8308","","8354","","9280","","9117","","9275","","9514","","10517","","10798","","10382","","10485","","11589","","10891","","10581","","10801",""
"2"," Ireland","24384","","24908","","25327","","25998","","27458","","29469","","31578","","34179","","36513","","38911","","41963","","42576","","43573","","45393","","47848","","49611","","51356","","51899","","48612","","44166","","44852","","43374","","42999","","45199","","48792","","54474","","59397","","62043","","65762","","68371",""
