SUJ,COUNTRY,YEAR,IDHR,IGINI,IPIBPC,IDH,CONTCORR,EGOB,ESTPOL,CALIREG,RJUE,VOZYREND,IPC,ILIB,IDEM
12,Haiti,1/1/2010,0.498574969,52.5,0.41,0.467,-1187163.00,-1629203.00,-0.9403154,-1028822.00,-1370327.00,-0.7115129,22,4.5,40.00
12,Haiti,1/1/2011,0.50596739,51.9,0.417,0.474,-1223197.00,-1673318.00,-0.9901676,-1052692.00,-1407701.00,-0.7490237,18,4.5,39.6
12,Haiti,1/1/2012,0.51086691,51.4,0.419,0.478,-1235766.00,-1645002.00,-0.7880927,-0.9403833,-1327451.00,-0.7627437,19,4.5,39.4
12,Haiti,1/1/2013,0.517007737,51.1,0.422,0.483,-1130485.00,-1576287.00,-0.6310154,-0.9334102,-1294263.00,-0.7494452,19,4.5,38.2
12,Haiti,1/1/2014,0.523763305,50.9,0.425,0.488,-12339.00,-2041475.00,-0.6436273,-1065349.00,-118546.00,-0.7911079,19,5,39.4
12,Haiti,1/1/2015,0.530301801,50.9,0.424,0.492,-1237522.00,-2016291.00,-0.6708382,-1170394.00,-1180637.00,-0.7986993,17,5,40.2
12,Haiti,1/1/2016,0.537047484,50.9,0.425,0.497,-1331628.00,-2078492.00,-0.7437881,-1238312.00,-1001997.00,-0.7594473,20,5,40.3
12,Haiti,1/1/2017,0.544398751,50.9,0.425,0.501,-1238204.00,-2069752.00,-0.674395,-131641.00,-1088149.00,-0.7369524,22,5,49.1
12,Haiti,1/1/2018,0.546845499,50.9,0.425,0.503,-1265189.00,-1909054.00,-0.6268144,-1224258.00,-1028031.00,-0.7454833,20,5,45.7
13,Honduras,1/1/2007,0.618863474,55.9,0.55,0.595,-0.7884458,-0.5486689,-0.4366662,-0.2864851,-0.9304911,-0.1927967,25,3,62.5
13,Honduras,1/1/2008,0.611826773,54.6,0.553,0.591,-0.9048845,-0.6170768,-0.529581,-0.3067068,-0.9648281,-0.2946571,26,3,61.8
13,Honduras,1/1/2009,0.618630746,54.4,0.545,0.593,-0.9043521,-0.6754177,-0.30812,-0.2998717,-0.8969461,-0.5329577,25,4,57.6
13,Honduras,1/1/2010,0.625411864,54.4,0.547,0.598,-0.8920198,-0.6416873,-0.4969096,-0.2230574,-0.8780162,-0.503611,24,4,58.4
13,Honduras,1/1/2011,0.628903808,53.9,0.548,0.601,-0.8251965,-0.5353841,-0.3904354,-0.1339601,-0.9038631,-0.4686563,25.9,4,58.4
13,Honduras,1/1/2012,0.626475857,53.7,0.549,0.6,-0.9540582,-0.69826,-0.3501156,-0.192711,-1140215.00,-0.4697777,28,4,58.4
13,Honduras,1/1/2013,0.63063143,53.00,0.55,0.603,-0.9454944,-0.7286451,-0.4386116,-0.186378,-1164663.00,-0.4749359,26,4,58.4
13,Honduras,1/1/2014,0.635720064,51.7,0.551,0.606,-0.7854443,-0.8099896,-0.534084,-0.398392,-0.9445819,-0.4091908,29,4,58.4
13,Honduras,1/1/2015,0.643406559,50.5,0.556,0.613,-0.5667076,-0.821569,-0.4689144,-0.3959342,-0.9256243,-0.4217525,31,4,59.2
13,Honduras,1/1/2016,0.649493649,50.00,0.558,0.618,-0.6577745,-0.7263504,-0.4333121,-0.513028,-1118705.00,-0.4396992,30,4,57.2
13,Honduras,1/1/2017,0.651947084,50.00,0.563,0.621,-0.7176982,-0.508081,-0.5648519,-0.4362634,-1046272.00,-0.4417417,29,4,56.3
13,Honduras,1/1/2018,0.653103361,50.1,0.567,0.623,-0.6164857,-0.6206585,-0.550988,-0.4688137,-1023039.00,-0.5083182,29,4,54.2
14,Mexico,1/1/2007,0.721837932,47.9,0.771,0.738,-0.2726447,0.1687744,-0.7284455,0.3878794,-0.4940353,0.121899,35,2.5,66.7
14,Mexico,1/1/2008,0.72493517,47.3,0.771,0.74,-0.2446972,0.1873924,-0.8037661,0.3382414,-0.6678741,0.1349276,36,2.5,67.8
14,Mexico,1/1/2009,0.729174876,46.9,0.76,0.739,-0.3010224,0.1752324,-0.6854959,0.2248415,-0.559861,0.2000446,33,2.5,69.3
14,Mexico,1/1/2010,0.726416547,46.8,0.766,0.739,-0.3615492,0.1624299,-0.7264634,0.2527093,-0.5508309,0.1785069,31,3,69.3
14,Mexico,1/1/2011,0.734675439,46.8,0.769,0.746,-0.4021198,0.3078777,-0.6677686,0.2799248,-0.5492158,0.1216919,29.7,3,69.00
14,Mexico,1/1/2012,0.741552426,46.9,0.772,0.752,-0.4118239,0.3426165,-0.6624542,0.4771238,-0.534087,0.1127453,34,3,69.1
14,Mexico,1/1/2013,0.739972972,46.9,0.77,0.75,-0.5120105,0.345396,-0.7142238,0.4689431,-0.5444897,0.1083923,34,3,66.8
14,Mexico,1/1/2014,0.743959004,46.8,0.774,0.754,-0.7617088,0.1962345,-0.8539188,0.4259591,-0.4228251,0.0003161,35,3,65.5
14,Mexico,1/1/2015,0.750179978,46.5,0.776,0.759,-0.7659356,0.2095713,-0.7986991,0.3577256,-0.447092,-0.0753589,31,3,64.7
14,Mexico,1/1/2016,0.756908185,46.3,0.779,0.764,-0.7196069,0.1319136,-0.6290694,0.2871219,-0.5562108,-0.069213,30,3,64.1
14,Mexico,1/1/2017,0.756908185,46.00,0.78,0.765,-0.927987,-0.0299037,-0.715323,0.1962538,-0.5666723,-0.0780927,29,3,61.9
