		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Micronesia. Fed. Sts.	FSM	0.81	0.70	1.00	76.88	39.70	100.00	0.42	0.53	2.00	67.00	36.00	88.50	0.05	0.44	3.00	53.96	29.70	73.27	0.02	0.41	3.00	54.95	31.19	71.29	-0.09	0.41	3.00	49.50	26.24	68.32	0.44	0.26	4.00	63.64	52.15	76.08	0.66	0.27	4.00	69.86	58.37	83.73	0.68	0.29	4.00	69.38	58.85	88.04	0.62	0.29	4.00	69.38	58.37	83.25	0.34	0.22	6.00	59.62	53.37	71.15	0.04	0.22	6.00	55.45	45.02	62.09	-0.10	0.21	6.00	52.13	39.81	61.61	-0.06	0.21	6.00	53.05	42.72	61.97	-0.02	0.21	6.00	54.46	44.13	61.97	0.07	0.21	6.00	55.40	45.54	63.38	-0.28	0.23	5.00	46.15	29.81	61.54	-0.30	0.22	5.00	45.67	30.29	58.65	-0.05	0.31	4.00	52.88	31.25	66.83	0.01	0.31	4.00	53.37	33.17	68.75	-0.02	0.31	4.00	53.85	32.69	69.23	0.02	0.31	4.00	54.33	34.13	69.71
Gabon	GAB	-0.65	0.21	6.00	30.65	18.09	40.70	-0.35	0.21	8.00	40.50	27.50	51.50	-0.21	0.18	9.00	44.55	35.15	54.46	-0.22	0.19	9.00	48.02	35.64	56.93	-0.37	0.19	9.00	43.07	28.71	50.99	-0.52	0.18	10.00	36.36	23.92	44.98	-0.45	0.17	10.00	38.76	28.71	45.45	-0.74	0.16	11.00	26.79	15.79	39.71	-0.70	0.16	11.00	28.23	17.70	40.19	-0.63	0.15	11.00	33.17	20.67	41.83	-0.55	0.15	11.00	36.49	23.22	45.50	-0.52	0.15	11.00	36.49	27.01	45.97	-0.46	0.14	11.00	39.91	29.11	48.36	-0.47	0.14	13.00	40.85	29.11	47.42	-0.54	0.14	14.00	36.15	26.76	45.54	-0.51	0.15	12.00	35.10	25.00	46.15	-0.55	0.15	13.00	33.17	23.56	45.19	-0.60	0.16	12.00	31.25	17.79	40.87	-0.68	0.16	12.00	26.92	16.83	35.10	-0.71	0.15	13.00	24.52	16.83	34.13	-0.73	0.15	14.00	24.52	16.35	32.69
United Kingdom	GBR	1.63	0.19	8.00	94.47	88.94	100.00	1.78	0.20	8.00	95.00	91.00	100.00	1.70	0.16	9.00	94.55	90.10	99.01	1.68	0.18	9.00	94.06	89.11	100.00	1.70	0.18	9.00	94.06	89.60	100.00	1.63	0.17	9.00	93.30	89.47	98.09	1.57	0.17	9.00	91.87	88.52	96.65	1.79	0.16	11.00	95.69	90.43	100.00	1.74	0.16	11.00	93.30	89.95	99.52	1.71	0.16	11.00	93.27	89.90	99.52	1.74	0.16	11.00	94.31	90.52	100.00	1.76	0.16	11.00	94.79	90.05	100.00	1.65	0.14	12.00	92.49	89.20	98.12	1.72	0.15	12.00	92.96	90.14	100.00	1.71	0.15	12.00	93.90	90.14	99.06	1.89	0.16	11.00	94.71	89.90	100.00	1.81	0.16	11.00	93.75	89.42	100.00	1.69	0.17	10.00	92.79	88.46	98.56	1.68	0.16	10.00	92.79	88.46	99.04	1.64	0.16	10.00	91.83	88.46	98.56	1.60	0.16	10.00	91.35	87.98	96.15
Georgia	GEO	-1.26	0.26	5.00	11.06	2.01	22.11	-1.24	0.24	6.00	10.00	3.50	23.00	-0.93	0.21	8.00	20.79	9.41	32.67	-1.06	0.21	9.00	15.35	6.44	28.22	-0.90	0.21	9.00	18.81	9.90	32.18	-0.66	0.18	11.00	32.06	17.22	41.15	-0.71	0.19	11.00	29.67	16.27	39.71	-0.46	0.15	14.00	40.19	27.27	49.28	-0.35	0.15	15.00	45.45	33.49	52.15	-0.27	0.15	15.00	47.60	36.54	53.37	-0.20	0.14	15.00	49.29	40.76	54.98	-0.21	0.14	15.00	47.87	40.28	54.98	-0.12	0.13	15.00	51.17	44.60	57.75	-0.01	0.13	17.00	54.93	47.89	59.62	-0.01	0.13	16.00	53.99	47.89	59.62	0.19	0.13	15.00	64.90	56.73	67.79	0.27	0.14	15.00	64.42	57.69	68.27	0.38	0.16	12.00	64.90	58.65	74.04	0.33	0.15	12.00	62.98	56.73	71.15	0.33	0.14	12.00	63.94	57.21	71.63	0.31	0.14	11.00	62.02	55.77	70.19
Ghana	GHA	-0.23	0.21	6.00	43.72	32.16	56.28	-0.28	0.21	8.00	42.50	31.00	54.50	0.15	0.18	9.00	57.43	48.02	64.85	0.04	0.18	11.00	55.45	46.04	62.38	0.07	0.17	12.00	54.46	46.04	63.37	-0.12	0.16	13.00	48.80	39.71	58.37	-0.12	0.15	13.00	49.28	40.67	57.42	0.05	0.15	15.00	55.98	49.76	60.29	0.04	0.15	15.00	54.55	48.33	58.85	-0.07	0.14	16.00	53.37	46.63	58.17	-0.04	0.14	17.00	54.03	45.97	60.19	-0.03	0.13	17.00	54.50	47.39	60.66	0.00	0.13	18.00	54.93	48.83	60.56	0.01	0.13	18.00	55.87	49.30	59.62	0.15	0.13	18.00	58.22	52.58	61.97	0.05	0.14	16.00	60.10	49.52	65.38	0.14	0.14	16.00	60.58	54.81	65.38	0.05	0.15	15.00	55.77	47.12	60.58	0.13	0.14	15.00	59.13	50.96	63.46	0.07	0.14	15.00	56.73	48.08	62.02	0.05	0.14	15.00	55.29	47.12	61.06
Guinea	GIN	-1.45	0.30	5.00	6.53	0.00	19.10	-1.20	0.26	7.00	11.00	3.50	25.00	-1.39	0.23	7.00	6.93	1.49	18.81	-1.03	0.22	8.00	16.83	6.44	30.20	-1.09	0.22	9.00	14.36	4.46	27.72	-1.26	0.20	10.00	10.05	3.35	17.22	-1.37	0.20	10.00	7.66	1.44	16.27	-1.40	0.17	11.00	6.22	0.96	11.96	-1.44	0.17	11.00	5.26	1.44	11.96	-1.53	0.16	12.00	3.85	0.48	9.13	-1.54	0.15	12.00	2.84	0.95	7.58	-1.48	0.15	12.00	4.27	0.95	9.00	-1.45	0.15	13.00	4.23	0.94	10.80	-1.41	0.14	15.00	4.69	1.41	9.86	-1.38	0.13	16.00	6.57	1.41	11.74	-1.36	0.14	15.00	6.25	1.92	10.10	-1.16	0.14	15.00	10.10	5.77	16.83	-1.22	0.17	13.00	9.13	6.25	17.31	-1.23	0.15	14.00	9.13	6.25	15.38	-1.21	0.15	14.00	9.13	6.25	16.83	-1.21	0.15	14.00	9.13	5.29	16.83
Gambia. The	GMB	0.02	0.30	5.00	52.26	36.68	63.32	-0.06	0.26	7.00	48.50	35.50	64.50	-0.20	0.23	7.00	45.54	32.18	57.43	-0.34	0.23	8.00	41.58	27.72	54.95	0.10	0.21	9.00	56.44	45.54	65.35	-0.40	0.19	10.00	39.71	28.23	50.24	-0.38	0.19	10.00	40.67	30.14	51.67	-0.36	0.16	11.00	44.50	31.10	50.72	-0.31	0.16	11.00	45.93	34.45	53.11	-0.41	0.16	11.00	40.38	28.37	50.48	-0.51	0.15	11.00	37.44	27.01	46.92	-0.56	0.15	11.00	34.60	25.59	45.50	-0.54	0.15	11.00	35.21	25.35	46.01	-0.58	0.15	11.00	33.80	24.41	45.54	-0.64	0.14	12.00	32.86	20.66	41.31	-0.69	0.15	11.00	27.88	16.35	37.50	-0.72	0.15	11.00	27.40	15.38	37.50	-0.77	0.17	10.00	24.04	12.98	33.65	-0.43	0.16	11.00	34.62	25.96	48.08	-0.43	0.15	12.00	36.06	26.44	48.08	-0.37	0.16	12.00	41.35	27.88	50.48
Guinea-Bissau	GNB	-1.67	0.32	4.00	2.51	0.00	15.58	-1.80	0.27	6.00	1.50	0.00	6.50	-1.32	0.23	7.00	8.91	1.49	20.79	-1.17	0.24	7.00	11.39	3.47	25.74	-1.14	0.23	7.00	12.87	4.46	26.24	-1.17	0.21	8.00	12.44	5.26	22.49	-1.25	0.21	9.00	9.57	3.35	20.57	-1.25	0.21	9.00	10.05	2.39	20.10	-1.31	0.20	9.00	7.66	1.44	15.31	-1.39	0.19	9.00	6.25	1.44	13.46	-1.34	0.19	9.00	5.21	1.42	15.64	-1.33	0.18	9.00	6.64	1.42	14.69	-1.31	0.18	9.00	7.04	1.88	15.49	-1.52	0.18	9.00	2.35	0.00	8.92	-1.59	0.17	10.00	1.88	0.00	7.51	-1.33	0.18	9.00	7.21	1.92	13.46	-1.28	0.19	9.00	6.73	2.40	14.42	-1.49	0.23	8.00	6.73	1.44	11.06	-1.44	0.22	8.00	6.73	1.44	12.50	-1.23	0.22	9.00	8.65	4.81	18.27	-1.26	0.22	9.00	7.69	4.81	18.27
Equatorial Guinea	GNQ	-1.28	0.23	4.00	10.05	2.51	21.11	-1.55	0.21	7.00	4.50	1.00	10.50	-1.42	0.18	7.00	4.46	1.49	13.86	-1.46	0.19	8.00	5.45	0.50	12.38	-1.41	0.20	8.00	6.44	0.50	14.36	-1.48	0.18	9.00	6.22	0.96	11.00	-1.46	0.17	9.00	6.22	0.48	11.96	-1.37	0.18	9.00	7.18	1.44	12.92	-1.30	0.18	8.00	8.13	1.91	14.35	-1.27	0.17	8.00	9.13	2.88	16.35	-1.27	0.16	8.00	8.06	2.84	17.06	-1.30	0.16	9.00	7.58	1.90	14.69	-1.27	0.15	9.00	9.39	1.88	15.49	-1.30	0.16	9.00	7.51	1.88	15.49	-1.35	0.15	10.00	7.04	0.94	13.15	-1.45	0.17	8.00	3.85	0.96	8.65	-1.46	0.16	8.00	4.33	0.96	8.17	-1.52	0.19	7.00	5.29	1.44	9.13	-1.49	0.17	7.00	5.77	1.92	9.62	-1.41	0.18	7.00	6.73	3.37	10.10	-1.42	0.16	8.00	6.25	4.33	9.62
Greece	GRC	1.05	0.19	8.00	83.42	68.84	89.95	0.81	0.20	8.00	75.00	67.50	84.00	0.88	0.16	9.00	80.20	69.80	84.16	0.75	0.18	9.00	73.76	64.36	82.18	0.82	0.18	9.00	75.74	65.84	84.16	0.91	0.17	9.00	77.99	69.38	86.12	0.79	0.17	9.00	75.12	63.64	83.73	0.87	0.16	11.00	77.03	66.99	87.56	0.87	0.16	11.00	77.51	68.90	85.65	0.86	0.16	11.00	78.37	69.71	83.65	0.65	0.16	11.00	68.25	61.61	78.67	0.63	0.15	12.00	67.30	62.56	77.73	0.57	0.15	12.00	67.14	61.97	74.18	0.43	0.15	13.00	63.85	59.62	70.42	0.47	0.15	13.00	64.32	59.62	72.30	0.36	0.16	11.00	66.35	61.54	73.56	0.27	0.16	11.00	63.94	57.21	70.19	0.11	0.17	10.00	57.69	47.12	64.90	0.08	0.16	10.00	56.73	48.08	63.46	0.15	0.16	10.00	59.13	50.48	65.38	0.20	0.16	10.00	60.58	50.96	66.83
Grenada	GRD	0.43	0.39	2.00	62.81	44.22	84.42	0.51	0.34	3.00	68.00	49.50	83.50	0.43	0.29	3.00	64.85	49.01	80.20	0.41	0.32	3.00	64.36	50.00	78.71	0.38	0.29	3.00	64.85	49.01	78.22	0.32	0.26	4.00	60.29	49.28	72.25	0.32	0.28	4.00	60.29	47.37	72.73	0.23	0.29	4.00	59.33	47.37	69.86	0.15	0.28	4.00	58.85	45.93	69.38	0.08	0.25	4.00	57.21	45.67	65.38	0.13	0.26	4.00	59.72	45.50	65.88	0.11	0.25	4.00	58.29	45.50	65.40	0.14	0.25	4.00	59.62	46.48	66.20	0.13	0.25	4.00	58.69	46.48	66.67	0.13	0.24	4.00	57.75	46.48	65.73	-0.17	0.30	2.00	50.48	29.33	65.87	0.14	0.25	4.00	61.06	46.15	70.19	0.57	0.26	5.00	72.12	58.65	80.77	0.44	0.25	5.00	66.35	53.85	77.88	0.23	0.26	4.00	60.58	48.08	74.52	0.18	0.26	4.00	59.62	45.67	73.08
Greenland	GRL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.72	0.28	1.00	93.84	87.20	100.00	1.74	0.28	1.00	93.84	87.20	100.00	1.74	0.26	1.00	95.31	87.32	100.00	1.72	0.27	1.00	93.90	86.38	100.00	1.70	0.28	1.00	93.43	86.38	100.00	1.74	0.32	1.00	91.83	86.06	100.00	1.70	0.30	1.00	92.31	85.10	100.00	1.72	0.28	1.00	94.23	86.54	100.00	1.72	0.25	1.00	94.71	86.54	100.00	1.74	0.23	1.00	94.23	87.02	100.00	1.75	0.23	1.00	94.23	88.46	100.00
Guatemala	GTM	-1.13	0.20	8.00	16.58	6.03	23.62	-1.07	0.21	8.00	17.00	6.50	26.50	-0.88	0.16	10.00	24.26	12.87	31.19	-0.97	0.18	11.00	17.33	8.42	28.71	-1.07	0.18	12.00	15.35	7.43	25.25	-1.01	0.16	14.00	16.27	9.09	26.79	-1.05	0.16	14.00	15.79	8.61	25.84	-1.09	0.15	17.00	12.92	7.66	23.44	-1.12	0.15	17.00	12.92	6.22	21.53	-1.11	0.14	17.00	12.50	7.21	20.67	-1.02	0.14	16.00	16.11	9.00	23.70	-0.96	0.14	17.00	17.54	11.37	27.96	-1.04	0.13	18.00	15.49	9.86	23.47	-1.08	0.14	18.00	15.02	7.04	21.13	-1.08	0.14	17.00	13.62	7.51	21.60	-0.96	0.15	15.00	15.38	7.21	26.92	-0.95	0.15	15.00	16.35	8.17	27.88	-1.02	0.16	14.00	14.90	8.17	25.00	-1.06	0.15	14.00	12.98	8.17	21.63	-1.04	0.14	14.00	15.38	7.69	21.15	-1.05	0.15	14.00	13.94	6.73	20.67
French Guiana	GUF	0.96	0.43	1.00	81.41	59.80	94.97	0.99	0.40	1.00	82.00	63.00	93.00	0.99	0.33	1.00	82.18	64.85	92.08	0.97	0.39	1.00	80.20	63.37	92.57	1.00	0.36	1.00	82.18	64.85	92.57	0.55	0.35	1.00	66.99	51.20	84.69	0.86	0.37	1.00	78.47	58.85	90.91	0.82	0.41	1.00	73.21	57.42	90.43	0.57	0.38	1.00	67.46	52.63	87.08	0.58	0.36	1.00	67.79	54.33	85.10	1.16	0.23	2.00	85.78	71.56	91.00	1.18	0.24	2.00	85.78	73.93	91.00	1.20	0.22	2.00	86.38	74.18	90.61	1.16	0.23	2.00	86.38	72.30	90.14	1.13	0.24	2.00	85.92	72.77	90.14	1.07	0.28	2.00	82.21	73.56	88.94	1.30	0.27	2.00	86.06	77.88	92.31	1.31	0.26	2.00	87.50	79.81	94.23	1.20	0.23	2.00	86.06	77.40	89.90	1.21	0.21	2.00	85.58	77.88	90.38	1.17	0.21	2.00	85.58	77.40	89.90
Guam	GUM	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.01	0.35	1.00	83.25	63.16	92.34	1.12	0.37	1.00	85.65	64.11	94.74	1.08	0.41	1.00	85.65	62.68	93.78	1.11	0.38	1.00	85.17	63.64	92.82	1.13	0.36	1.00	85.10	65.87	93.27	1.13	0.40	1.00	85.31	63.51	96.21	1.12	0.41	1.00	84.83	63.51	95.73	1.10	0.41	1.00	84.98	62.44	96.24	1.10	0.40	1.00	85.45	63.85	94.84	1.11	0.39	1.00	85.45	64.32	94.84	1.41	0.52	1.00	87.50	71.63	100.00	1.35	0.50	1.00	87.98	70.19	100.00	1.10	0.51	1.00	84.62	60.10	97.60	1.36	0.48	1.00	88.46	70.67	100.00	1.36	0.48	1.00	87.98	72.12	100.00	1.34	0.50	1.00	87.98	69.71	100.00
Guyana	GUY	-0.20	0.30	5.00	44.72	28.14	60.80	-0.29	0.27	6.00	42.00	26.00	55.50	-0.47	0.24	6.00	37.62	25.25	49.01	-0.49	0.25	6.00	37.62	20.79	50.50	-0.54	0.24	7.00	33.17	17.82	47.52	-0.62	0.22	8.00	33.97	17.22	43.54	-0.67	0.20	10.00	31.58	16.75	43.06	-0.56	0.16	12.00	34.93	23.92	45.45	-0.46	0.16	13.00	40.19	26.79	48.33	-0.58	0.16	12.00	35.10	21.15	45.67	-0.56	0.16	12.00	36.02	22.27	45.50	-0.47	0.16	12.00	38.86	27.96	47.39	-0.51	0.15	12.00	37.56	26.29	46.95	-0.52	0.15	13.00	38.50	26.76	46.48	-0.53	0.15	13.00	38.03	25.35	45.54	-0.62	0.17	11.00	31.73	18.27	42.79	-0.53	0.16	11.00	34.13	23.56	46.63	-0.31	0.18	9.00	42.79	30.77	53.37	-0.29	0.17	9.00	42.79	31.25	52.40	-0.37	0.17	8.00	40.38	27.40	51.44	-0.43	0.17	8.00	36.54	25.00	47.60
Hong Kong SAR. China	HKG	0.75	0.20	6.00	69.85	62.31	84.92	1.02	0.21	6.00	82.50	71.50	90.00	0.82	0.17	7.00	74.75	66.83	84.16	1.29	0.19	7.00	87.13	80.69	92.57	1.57	0.19	7.00	91.58	86.14	95.54	1.59	0.18	7.00	92.82	88.04	97.13	1.61	0.17	7.00	92.82	89.00	97.61	1.55	0.17	9.00	90.91	89.47	97.13	1.53	0.17	9.00	90.91	87.08	95.69	1.49	0.16	9.00	90.38	87.50	94.23	1.50	0.16	9.00	91.00	87.20	95.73	1.54	0.16	9.00	91.00	87.20	96.68	1.55	0.15	10.00	90.61	86.85	96.24	1.58	0.16	10.00	90.61	86.85	96.71	1.57	0.16	10.00	91.08	86.85	96.71	1.86	0.17	10.00	94.23	88.94	100.00	1.83	0.16	9.00	95.19	89.42	100.00	1.72	0.18	8.00	93.27	89.42	99.52	1.72	0.17	9.00	93.75	89.42	99.04	1.77	0.16	9.00	95.19	89.42	99.52	1.60	0.16	9.00	91.83	87.98	96.15
Honduras	HND	-0.93	0.20	8.00	21.11	10.55	32.16	-0.92	0.21	8.00	20.00	8.50	31.00	-0.99	0.16	10.00	19.80	10.40	28.22	-0.84	0.18	11.00	23.76	14.36	35.64	-0.88	0.18	11.00	19.80	11.39	31.19	-0.76	0.16	14.00	25.84	14.83	37.32	-0.78	0.16	14.00	26.79	16.27	35.89	-0.99	0.16	15.00	16.27	9.57	26.79	-0.93	0.16	15.00	19.62	11.48	29.67	-0.96	0.15	15.00	18.27	9.62	25.48	-0.90	0.14	16.00	18.96	12.80	30.81	-0.88	0.14	16.00	21.80	12.80	30.81	-0.90	0.14	16.00	18.78	13.62	30.05	-1.14	0.14	16.00	11.74	5.63	19.72	-1.16	0.14	16.00	11.74	4.69	18.78	-0.94	0.15	15.00	16.35	7.69	27.40	-0.93	0.15	15.00	16.83	9.13	29.33	-1.12	0.16	14.00	11.06	7.21	18.75	-1.05	0.15	14.00	14.42	8.17	21.63	-1.03	0.14	14.00	16.35	8.17	21.63	-1.01	0.15	13.00	15.38	8.17	22.60
Croatia	HRV	-0.63	0.20	6.00	31.16	19.10	40.20	-0.36	0.20	8.00	39.50	27.50	50.00	0.03	0.17	9.00	52.97	43.07	61.88	-0.15	0.16	12.00	48.51	40.10	57.43	-0.02	0.17	12.00	52.48	44.55	61.39	0.09	0.15	13.00	56.94	47.85	60.29	0.13	0.15	13.00	57.42	48.33	60.77	0.01	0.15	15.00	54.07	47.37	59.33	0.09	0.15	15.00	55.98	50.24	59.81	0.09	0.14	14.00	58.17	50.48	59.13	0.16	0.14	14.00	60.19	53.55	61.61	0.20	0.13	14.00	61.61	54.50	62.56	0.22	0.13	15.00	61.03	54.93	62.44	0.25	0.12	16.00	60.56	57.75	63.85	0.29	0.12	16.00	61.03	56.34	65.73	0.32	0.13	15.00	65.87	61.54	71.15	0.20	0.13	15.00	62.50	56.73	66.83	0.41	0.15	13.00	66.35	59.13	74.52	0.33	0.14	13.00	63.46	58.17	70.67	0.32	0.13	13.00	62.98	57.69	70.67	0.37	0.14	13.00	64.90	57.69	72.12
Haiti	HTI	-1.39	0.30	5.00	8.04	0.50	21.11	-1.31	0.27	6.00	8.00	1.50	22.50	-1.46	0.24	7.00	2.97	0.99	16.34	-1.77	0.22	9.00	0.99	0.00	5.45	-1.79	0.21	9.00	0.50	0.00	4.46	-1.72	0.21	10.00	1.91	0.00	7.18	-1.64	0.21	9.00	2.39	0.00	8.61	-1.41	0.17	12.00	5.74	0.96	11.96	-1.34	0.17	12.00	6.70	1.44	13.40	-1.28	0.16	12.00	8.65	2.88	15.87	-1.32	0.15	13.00	6.64	2.37	14.69	-1.37	0.15	13.00	5.69	1.90	12.32	-1.41	0.14	15.00	5.16	1.41	12.21	-1.33	0.14	15.00	7.04	1.88	13.62	-1.29	0.14	15.00	7.98	2.82	14.08	-1.19	0.16	13.00	8.65	4.33	16.35	-1.18	0.16	13.00	9.13	4.33	16.83	-1.00	0.18	11.00	15.87	8.17	26.92	-1.09	0.16	12.00	12.50	7.69	21.15	-1.05	0.16	11.00	13.94	6.73	21.63	-0.97	0.16	11.00	16.83	8.17	25.00
Hungary	HUN	0.91	0.18	9.00	79.40	68.34	86.43	0.87	0.18	10.00	77.50	69.50	84.00	0.91	0.15	12.00	80.69	72.28	84.16	0.98	0.16	13.00	80.69	72.77	84.16	0.93	0.16	13.00	79.21	71.78	84.16	0.91	0.15	13.00	77.51	70.33	85.17	0.86	0.15	13.00	78.95	68.42	83.73	1.00	0.14	15.00	82.78	70.33	88.04	0.96	0.14	15.00	81.82	71.77	87.08	0.93	0.13	16.00	81.25	71.15	85.10	0.80	0.13	16.00	72.51	66.35	81.99	0.78	0.13	15.00	72.99	65.88	81.04	0.76	0.13	15.00	72.77	66.20	79.81	0.62	0.13	16.00	68.08	63.38	73.71	0.58	0.13	15.00	67.61	61.97	73.24	0.50	0.14	14.00	71.15	64.90	76.44	0.40	0.14	14.00	66.35	61.54	72.60	0.42	0.16	12.00	66.83	59.13	75.00	0.53	0.15	12.00	70.19	61.54	76.44	0.55	0.14	12.00	71.63	62.50	76.92	0.49	0.14	12.00	68.27	61.06	75.00
Indonesia	IDN	-0.49	0.19	8.00	36.18	23.12	46.23	-0.78	0.19	9.00	25.00	15.00	36.00	-0.72	0.16	11.00	28.71	20.30	37.62	-0.91	0.17	12.00	19.80	10.89	31.68	-0.85	0.17	13.00	22.28	13.37	32.18	-0.77	0.15	14.00	24.88	14.83	35.89	-0.82	0.15	14.00	23.92	15.31	34.45	-0.72	0.14	17.00	27.27	17.70	39.71	-0.68	0.15	17.00	29.67	20.10	40.19	-0.65	0.14	16.00	31.25	20.67	39.42	-0.60	0.14	16.00	33.18	21.80	43.13	-0.64	0.14	16.00	31.28	22.27	40.28	-0.59	0.13	17.00	31.46	25.35	43.66	-0.58	0.13	17.00	34.27	24.41	44.13	-0.53	0.13	16.00	37.09	26.76	45.54	-0.34	0.15	14.00	42.79	32.69	52.88	-0.42	0.14	14.00	39.42	30.29	49.52	-0.34	0.16	13.00	40.38	31.25	51.44	-0.35	0.15	13.00	40.87	31.25	51.44	-0.32	0.14	13.00	42.79	31.25	51.92	-0.34	0.15	13.00	42.31	28.37	50.48
India	IND	0.31	0.19	8.00	61.31	51.26	68.34	0.35	0.19	9.00	64.00	53.50	72.00	0.33	0.16	10.00	62.38	54.46	69.31	0.00	0.17	11.00	53.96	45.05	59.90	0.13	0.17	11.00	58.91	47.52	64.85	0.04	0.16	12.00	55.02	44.98	59.33	0.13	0.16	12.00	56.94	47.85	60.77	0.18	0.15	15.00	58.37	51.67	62.68	0.09	0.15	15.00	56.46	50.24	59.81	0.09	0.14	15.00	57.69	50.48	59.13	0.01	0.14	15.00	54.98	47.39	61.14	-0.04	0.14	15.00	54.03	46.45	60.66	-0.09	0.13	16.00	52.58	46.01	58.69	-0.07	0.14	16.00	52.58	46.01	59.62	-0.06	0.14	15.00	53.05	45.54	59.15	-0.06	0.15	14.00	54.81	44.23	63.46	-0.05	0.14	14.00	55.77	45.67	61.54	-0.03	0.16	13.00	53.37	43.27	59.13	0.00	0.15	13.00	52.88	46.63	60.58	0.03	0.14	13.00	55.29	47.12	62.02	-0.03	0.15	13.00	52.40	45.19	60.58
Ireland	IRL	1.50	0.19	8.00	92.96	86.43	97.49	1.63	0.20	8.00	93.00	89.50	98.50	1.57	0.16	8.00	92.57	85.64	97.03	1.63	0.18	8.00	93.07	87.13	99.01	1.52	0.18	8.00	90.59	84.65	95.05	1.53	0.18	8.00	92.34	87.08	95.69	1.60	0.17	9.00	92.34	89.00	97.61	1.72	0.16	10.00	93.78	89.95	99.52	1.75	0.16	11.00	93.78	90.43	99.52	1.72	0.16	11.00	93.75	89.90	100.00	1.75	0.16	11.00	95.26	90.52	100.00	1.77	0.16	11.00	95.73	90.05	100.00	1.76	0.15	12.00	96.24	90.14	100.00	1.73	0.16	12.00	94.84	90.14	100.00	1.73	0.16	11.00	94.84	90.14	100.00	1.78	0.17	10.00	92.79	88.46	99.04	1.77	0.17	10.00	92.79	88.94	99.52	1.52	0.19	9.00	89.90	86.06	95.67	1.43	0.18	9.00	88.94	84.62	93.27	1.46	0.17	9.00	89.42	85.10	94.23	1.39	0.17	9.00	88.94	83.65	92.31
